Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
145,0,294.992,-425.805,1242.55,385.893,-355.308,1252.28,302.381,-342.135,1205.97,,,,,,,318.346,-357.826,1130.74
146,0,294.986,-425.751,1242.57,386.223,-355.125,1252.33,302.387,-342.1,1205.98,,,,,,,318.308,-357.818,1130.8
147,0,294.993,-425.675,1242.55,386.048,-355.143,1252.16,302.542,-342.127,1205.93,,,,,,,318.214,-357.692,1130.68
148,0,295.013,-425.602,1242.57,386.079,-355.072,1252.12,302.548,-342.029,1205.91,,,,,,,318.258,-357.601,1130.7
149,0,295.087,-425.469,1242.52,386.122,-355.007,1252.06,302.533,-341.861,1205.7,,,,,,,318.321,-357.605,1130.65
150,0,295.011,-425.456,1242.53,386.138,-354.929,1251.98,302.584,-341.773,1205.6,,,,,,,318.327,-357.592,1130.57
151,0,295.02,-425.353,1242.49,386.137,-354.887,1251.93,302.585,-341.754,1205.55,,,,,,,318.309,-357.512,1130.55
152,0,295.089,-425.263,1242.38,386.1,-354.865,1251.89,302.625,-341.724,1205.44,,,,,,,318.273,-357.527,1130.51
153,0,294.968,-425.316,1242.35,386.021,-354.85,1251.84,302.602,-341.742,1205.35,,,,,,,318.379,-357.58,1130.55
154,0,294.936,-425.331,1242.3,385.969,-354.841,1251.81,302.575,-341.78,1205.32,,,,,,,318.347,-357.589,1130.57
155,0,294.825,-425.393,1242.3,385.885,-354.879,1251.8,302.472,-341.758,1205.37,,,,,,,318.326,-357.607,1130.55
156,0,294.76,-425.451,1242.3,385.818,-354.907,1251.88,302.491,-341.886,1205.42,,,,,,,318.311,-357.631,1130.59
157,0,294.748,-425.446,1242.25,385.766,-354.901,1251.91,302.308,-341.844,1205.45,,,,,,,318.1,-357.624,1130.57
158,0,294.729,-425.443,1242.15,385.706,-354.974,1251.9,302.299,-341.86,1205.43,,,,,,,318.07,-357.61,1130.6
159,0,294.62,-425.465,1242.15,385.676,-355.022,1251.95,302.279,-341.841,1205.45,,,,,,,318.056,-357.625,1130.58
160,0,294.595,-425.467,1242.1,385.634,-355.052,1251.95,302.177,-341.859,1205.46,,,,,,,317.978,-357.55,1130.61
161,0,294.32,-425.567,1242.09,385.543,-355.083,1251.92,302.131,-341.861,1205.42,,,,,,,318.022,-357.559,1130.67
162,0,294.215,-425.578,1241.98,385.456,-355.037,1251.9,302.063,-341.881,1205.33,,,,,,,317.886,-357.53,1130.65
163,0,293.495,-425.405,1241.97,385.314,-355.066,1251.89,301.951,-341.781,1205.35,,,,,,,317.759,-357.399,1130.59
164,0,293.848,-425.632,1241.87,385.268,-355.018,1251.91,301.798,-341.767,1205.33,,,,,,,317.675,-357.439,1130.54
165,0,293.867,-425.496,1241.9,385.157,-355.007,1251.89,301.661,-341.769,1205.32,,,,,,,317.633,-357.485,1130.55
166,0,293.782,-425.483,1241.86,385.071,-354.987,1251.88,301.675,-341.8,1205.24,,,,,,,317.606,-357.486,1130.51
167,0,293.801,-425.488,1241.9,385.051,-354.982,1251.88,301.523,-341.767,1205.21,,,,,,,317.634,-357.604,1130.49
168,0,293.797,-425.476,1241.83,384.999,-354.984,1251.91,301.591,-341.914,1205.06,,,,,,,317.627,-357.626,1130.49
169,0,293.768,-425.499,1241.85,384.95,-355.004,1251.91,301.552,-341.917,1205.09,,,,,,,317.614,-357.639,1130.48
